sayfasayisi   fiyat  tema           adi
336            25     macera         Hobbit
404            32     kahramanlik    God-of-War
450            35     kahramanlik    Aclik-Oyunlari-Serisi
350            30     sevgi          Harry-Potter-Serisi
280            26     macera         Percy-Jackson-Serisi
410            25     kahramanlik    Merlin-Serisi
600            35     dram           Game-of-Thrones-Serisi
256            25     dram           Hurinin-Cocuklari
152            19     kahramanlik    Kullervonun-Cocuklari
264            18     korku          Olum-Kitabi
184            16     dram           Dunyanin-Otesindeki-Orman
750            45     macera         Miras-Serisi
540            35     macera         Karanlik-Zihinler-Serisi
264            10     macera         Athyra-bir-Vlad-Taltos-Macerasi
400            30     macera         Witcher-Serisi
255            11     korku          Mumyanin-Mezari
400            32     kahramanlik    Parcalanmis-Imparatorluklar-Serisi
320            18     kahramanlik    Son-Muhafiz
320            73     macera         Su-Dunyasi-Buyucusu
696            40     kahramanlik    Silmarillion
750            90     kahramanlik    Cam-Taht-Serisi
200            60     macera         Krallar-ve-Buyuculer-Serisi
512            30     macera         Bitmeyecek-Oyku
357            32     kahramanlik    Barut-Savasi
408            25     macera         Ben-Kirke
376            22     macera         Akhilleusun-Sarkisi
496            29     macera         Dikenlerin-Buyusu
300            25     kahramanlik    Bir-Ay-Gunlugu-Serisi
450            20     korku          Yuruyen-Oluler-Serisi
160            15     sevgi          Bir-iz-Birak
210            20     macera         Narnia-Gunlukleri-Serisi
