sayfasayisi		fiyat		tema		adi
495			35		gerilim		Da-Vinci-Sifresi(Dan-Brown)
396			19		gerilim		Bab-i-Esrar(Ahmet-Umit)
431			35		macera		Siyah-Kan(Jean-Christophe-Grange)
384			15		gizem		Akil-Oyunlarinin-Golgesinde(Sir-Arthur-Conan-Doyle)
646			33		macera		Ejderha-Dovmeli-Kiz(Stieg-Larsson)
480			28		gizem		Aklindan-Bir-Sayi-Tut(John-Verdon)
256			22		gizem		Dogu-Ekspresinde-Cinayet(Agatha-Christie)
574			36		gerilim		Melekler-ve-Seytanlar(Dan-Brown)
528			15		macera		Sultani-Oldurmek(Ahmet-Umit)
370			18		macera		Sil-Bastan(Ken-Grimwood)
512			16		gizem		Sah-Mat(Mario-Mazzanti)
360			28		gerilim		Trendeki-Kiz(Paula-Hawkins)
328			33		korku		Kizil-Nehirler(Jean-Christophe-Grange)
176			16		korku		Noel’de-Cinayet(Agatha-Christie)
255			17		korku		Olum-Sessiz-Geldi(Agatha-Christie)
216			14		korku		Cinayet-Randevusu(Agatha-Christie)
157			12		korku		Cinayetler-Oteli(Agatha-Christie)
436			19		korku		Kirlangic-Cigligi(Ahmet-Umit)
456			22		macera		Beyoglu'nun-En-Guzel-Abisi(Ahmet-Umit)
690			28		macera		Istanbul-Hatirasi(Ahmet-Umit)

