sayfa-sayisi		fiyat		tema			adi
128			8		ic-catisma		Fatih-Harbiye(Peyami-Safa)
160			6		ask			Kurk-Mantolu-Madonna(Sabahattin-Ali)
267			6		ic-catisma		Icimizdeki-Seytan(Sabahattin-Ali)
544			47		ask			Calikusu(Resat-Nuri-Guntekin)
256			5		bas-kaldiri		Kuyucakli-Yusuf(Sabahattin-Ali)
214			19		savas			Yaban(Yakup-Kadri-Karaosmanoglu)
128			8		esaret			Serguzest(Samipasazade-Sezai)
365			21		ask			Eylul(Mehmet-Rauf)
160			5		ask			Intibah(Namik-Kemal)
419			33		ic-catisma		Huzur(Ahmet-Hamdi-Tanpinar)
253			23		savas			Atesten-Gomlek
80			5		vatan-sevgisi		Vatan-Yahut-Silistre
271			8		ask			Araba-Sevdasi(Recaizade-Mahmut-Ekrem)
160			29		kulturel-catisma	Yaprak-Dokumu(Resat-Nuri-Guntekin)
400			16		ic-catisma		Mai-ve-Siyah(Halid-Ziya-Usakligil)
232			12		savas			Cezmi(Namik-Kemal)
168			12		kultur-catismasi	Felatun-Bey-ile-Rakim-Efendi(Ahmet-Mithat-Efendi) 
232			24		kultur-catismasi	Kiralik-Konak(Yakup-Kadri-Karaosmanoglu)
64			3		ask			Zavalli-Cocuk(Namik-Kemal)
119			5		intikam			Zehra(Nabizade-Nazim)
